OBJECTID,sitename,orgname,streetaddr,building_s,city,county,state,zip,phonenumbe,website,extent,contact_na,contact_ad,contact_bu,contact_ph,contact_em,Expiration,MapID,Shape_Length,Shape_Area
2,Northern Garrett Industrial Park,Garrett County Department of Economic Development,203 South 4th Street,Room 208,Oakland,Garrett,MD,21550,(301) 334-1921,http://www.gcedonline.com/,109 Acres,Kim Durst,203 South 4th Street,Room 208,(301) 334-1921,kdurst@garrettcounty.org,2028/12/14 00:00:00+00,14,4086.2062539901,744228.947468602
9,Queen Anne's County,Queen Anne's County Department of Econonic Development,425 Piney Narrows Road,,Chester,Queen Anne's,MD,21619,(410) 604-2100,http://www.qac.org/,"1,349 Acres",Heather Tinelli,425 Piney Narrows Road,,(410) 604-2100,htinelli@qac.org,2026/12/14 00:00:00+00,24,74124.4681949832,9048902.76107872
10,Crisfield/Somerset County,Somerset County Economic Development Commission,11916 Somerset Avenue,Suite 202,Princess Anne,Somerset,MD,21853,(410) 651-0500,http://www.somersetcountyedc.org/,776 Acres,Danny Thompson,11916 Somerset Avenue,Suite 202,(410) 651-0500,edc@co.somerset.md.us,2026/12/14 00:00:00+00,25,46900.5930354848,5065070.71771797
11,Berlin/Worcester County,Town of Berlin,10 William Street,--,Berlin,Worcester,MD,21811,(410) 641-1772,http://berlinmd.gov/,"1,195 Acres",Ivy Wells,10 William Street,--,(410) 641-1772,iwells@berlinmd.gov,2026/12/14 00:00:00+00,33,46250.1864199229,7871164.57978205
12,Aberdeen/Havre de Grace,Harford County Office of Economic Development,2021 Pulaski Highway,Suite D,Havre de Grace,Harford,MD,21078,(410) 638-3059,http://www.harforcecountymd.gov/,"9,797 Acres",Karen Holt,2021 Pulaski Highway,Suite D,(410) 638-3059,kholt@harfordcountymd.gov,2026/06/14 00:00:00+00,16,169057.591770926,66674842.3707608
13,City of Brunswick,City of Brunswick,1 West Potomac Street,--,Brunswick,Frederick,MD, 21716,(301) 834-7500,http://www.brunswickmd.gov/,"1,371 Acres",Terri Householder,1 West Potomac Street,--,(301) 834-7500 ex. 204,econdevelopmentcoord@brunswickmd.gov,2026/06/14 00:00:00+00,11,18824.526512993,9282615.88680443
14,Town of Chestertown,Kent County Department of Economic Development,400 High Street,--,Chestertown,Kent,MD,21620,(410) 810-4600,http://www.kentcounty.com/,"1,086 Acres",Jamie Williams,400 High Street,--,(410) 810-2168,jwilliams@kentgov.org,2026/06/14 00:00:00+00,17,42214.1258964413,7330510.5744313
15,Southern Garrett County,Garrett County Department of Economic Development,203 South 4th Street,Room 208,Oakland,Garrett,MD,21550,(301) 334-1921,"http://www.gcedonline.com/
http://www.gcedonline.com/
",247 Acres,Kim Durst,203 South 4th Street,Room 208,(301) 334-1921,kdurst@garrettcounty.org,2027/06/14 00:00:00+00,12,8873.39075717917,1673730.7357132
16,Easton/Talbot County,Easton Development Corporation,101 Marlboro Avenue,Suite 53,Easton,Talbot,MD,21601,(410) 690-7348,http://eastonedc.com/,316 Acres,Tracy Ward,101 Marlboro Avenue,Suite 53,(410) 690-7348,tracy.ward@eastonedc.com,2027/12/14 00:00:00+00,27,22220.7685305743,2105580.35146738
17,Burtonsville/Briggs Chaney,Montgomery County Department of Economic Development,101 Monroe Street,Suite 1500,Rockville,Montgomery,MD,20850,(301) 777-2011,https://www.montgomerycountymd.gov/,231 Acres,Peter McGinnity,101 Monroe Street,Suite 1500,(240) 777-2011,peter.mcginnity@montgomerycounty.gov,2027/12/14 00:00:00+00,19,16135.4876830181,1553074.19845396
18,Anne Arundel County,Anne Arundel Economic Development Corporation,2660 Riva Road,Suite 200,Annapolis,Anne Arundel,MD,21401,(410) 222-7410,http://aaedc.org/,472 Acres,Wesley MacQuilliam,2660 Riva Road,Suite 200,(410) 222-7410,wmacquilliam@aaedc.org,2027/06/14 00:00:00+00,3,41378.6126317938,3186749.54686828
19,Tilghman,Talbot County Department of Economic Development and Tourism,11 North Washington Street,,Easton,Talbot,MD,21601,(410)-770-8000,http://www.talbotcountymd.gov,85 Acres,Cassandra M. Vanhooser,11 North Washington Street,,(410)-770-8000,cvanhooser@talbotcountymd.gov,2027/12/14 00:00:00+00,28,14342.0892778989,624799.085247978
20,City of Frederick,City of Frederick,101 N. Court Street,--,Frederick,Frederick,MD,21701,(301) 600-1380,https://www.cityoffrederick.com/,525 Acres,Mary Ford-Naill,101 North Court Street,,(301) 600-6362,mnaill@cityoffrederick.com,2028/06/14 00:00:00+00,10,17404.1816948808,3561858.5138706
21,Olde Towne,City of Gaithersburg,31 South Summit Avenue,--,Gaithersburg,Montgomery,MD,20877,(301) 258-6300,http://www.gaithersburgmd.gov/,350 Acres,Thomas Lonergan,31 South Summit Avenue,--,(301) 258-6313,tlonergan@gaithersburgmd.gov,2028/06/14 00:00:00+00,20,15385.6160510772,2359941.84400803
22,North County,Caroline County,9194 Legion Road,Suite 1,Denton,Caroline,MD,21629,(410) 829-2763,https://www.carolinemd.org/,714 Acres,Debbie Bowden,9194 Legion Road,Suite 1,(410) 829-2763,dbowden@carolinemd.org,2028/12/14 00:00:00+00,6,92518.0374399407,4784079.5388381
23,Route 220 South/Allegany County,Allegany Couny Department of Economic Development,701 Kelly Road,,Cumberland,Allegany,MD,21502,(301) 777-5911,https://www.alleganygov.org/,404 Acres,Greg Hildreth,701 Kelly Road,Suite 400,(301) 777-5967,ghildreth@alleganygov.org,2029/06/14 00:00:00+00,2,10557.0778122595,2755001.51292058
24,Keyser's Ridge - Garrett County ,Garrett County,203 South Fourth Street,Room 207,Oakland,Garrett,MD,21550,(301) 334-8970,https://www.garrettcounty.org/,262 Acres,Kim Durst,203 South Fourth Street,Room 208,(301) 334-1992,kdurst@garrettcounty.org,2029/06/14 00:00:00+00,13,7922.95278566352,1783120.68060626
25,Prince Georges County,Prince Georges County Econ Dev Corp,1100 Mercantile Lane,Suite 115A,Largo,Prince Georges,MD,20774,(301) 583-4617,http://www.pgcedc.com/,"9,385 Acres",Larry Hentz,1100 Mercantile Lane,", Suite 115A",(301) 583-4617,lhentz@pdcedc.com,2030/01/03 00:00:00+00,23,463686.129992324,57982832.9074097
26,Rock Hall Kent County,Rock Hall Kent County,"400 High St
",3rd Floor,"Chestertown
",Kent,MD,21620,(410) 810-2168,https://www.kentcounty.com/,"1,523 Acres","Jamie Williams
",400 High St,3rd Floor,(410) 810-2168,jlwilliams@kentgov.org,2031/12/14 00:00:00+00,18,67265.2071678376,10601387.4282163
27,Baltimore City,Baltimore Development Corporation,36 South Charles Street,Suite 2100,Baltimore City,Baltimore City,MD,21201,(410) 837-9305,http://baltimoredevelopment.com/,"16,674 Acres",Shevon Kaintuck,36 South Charles Street,Suite 2100,(410) 837-9305,Shevon.kaintuck@BaltimoreDevelopment.com,2032/06/14 00:00:00+00,34,833424.18545904,112784453.400704
28,City of Pocomoke,"Pocomoke City, Worcester County",101 Clarke Avenue,P.O. Box 29,Pocomoke,Worcester,MD,21851,(410) 957-1633 x108,https://www.cityofpocomoke.com,"2,908 Acres","Daniel L. Brandewie, AICP",101 Clarke Avenue,P.O. Box 29,(410) 957-1633 x108,Dan@pocomokemd.gov,2032/12/14 00:00:00+00,35,64389.7028332431,6807751.2753738
29,City of Hagerstown/ Washington County,Washington County Department of Business Development,100 West Washington Street,Suite 1401,Hagerstown,Washington,MD,21740,(240) 313-2286,https://www.washco-md.net/business-development,"4,947 Acres",Linda Spence,100 West Washington Street,Suite 1401,(240) 313-2286,LSpence@WashCo-MD.net,2032/12/14 00:00:00+00,30,78010.8796362026,33790369.0853281
30,Salisbury/Wicomico County,Salisbury Department of Business Development,110 N Division Street,,Salisbury,Wicomico,MD,21801,(410) 677-1916,https://salisbury.md/departments/arts-business-culture/business-development,"5,196 Acres",Laura Soper,110 N Division Street,,(410) 677-1916,lsoper@salisbury.md,2032/12/14 00:00:00+00,31,130949.587344385,34270387.5719233
31,Woodlawn Enterprise Zone,Baltimore County - Woodlawn,"Historic Courthouse, 400 Washington Avenue",,Towson,Baltimore,MD,21204,"(410) 887-2258
",https://www.baltimorecountymd.gov/departments/economicdev/index.html,756 Acres,Katie Ciarrocchi,"Historic Courthouse, 400 Washington Avenue, Towson, MD 21204",,(410) 887-2258,kciarrocchi@baltimorecountymd.gov ,2033/06/14 00:00:00+00,36,24322.2160946942,5105551.67938797
32,"Worton/Bettertown Enterprise Zone 
",Kent County - Betterton and Worton,400 High St. Chestertown,,Chestertown,Kent,MD,21620,"(410) 810-2168
",http://www.kentcounty.com/,"2,047 Acres","Jamie Williams
",400 High St. Chestertown,,(410) 810-2168,jlwilliams@kentgov.org,2033/06/14 00:00:00+00,37,61205.238705934,13851410.3031018
34,"Somerset County - Town of Princess Anne Enterprise Zone
","Somerset County - Town of Princess Anne
",11916 Somerset Avenue,Suite 202,Princess Anne,Somerset,MD,21853,(410) 651-0500,http://www.somersetcountyedc.org/,"1,500 Acres",LeeAnn Linton,11916 Somerset Avenue,Suite 202,(410) 651-0500,llinton@somersetmd.us,2033/06/14 00:00:00+00,26,68137.5888215195,9844084.68992665
35,Southwest Enterprise Zone,Baltimore County - Southwest,400 Washington Avenue,Suite 100,Towson,Baltimore,MD,21204,(410) 887-2258,https://www.baltimorecountymd.gov/departments/economicdev/index.html,"1,720 Acres",Katie Ciarrocchi,400 Washington Avenue,Suite 100,(410) 887-2258,kciarrocchi@baltimorecountymd.gov,2033/06/14 00:00:00+00,6,46723.6814024431,11248931.1125612
36,Town of Snow Hill  - Worcester County Enterprise Zone,Town of Snow Hill - Worcester County,103 Bank Street,,Snow Hill,Worcester,MD,21863,(410) 632-2080,http://www.snowhillmd.gov/,230 Acres,Lorissa McAllister,103 Bank Street,,(410) 632-2080,lmcallister@snowhillmd.com,2033/06/14 00:00:00+00,38,31332.173133699,1728973.82588601
37,Cambridge/Dorchester County,City of Cambridge,410 Academy Street,,Cambridge,Dorchester,MD,21613,(410) 228-4020,https://www.choosecambridge.com/,1803 Acres,Brandon Hesson,"410 Academy Street, Cambridge, MD 21613",,(667) 327-4815,bhesson@choosecambridge.com,2033/06/14 00:00:00+00,9,45558.5516692407,11954965.5654491
38,Eastern Howard County Enterprise Zone,Howard County,6751 Columbia Gateway Drive,Suite 500,Columbia,Howard,MD,21046,(410) 313-6500,https://www.howardcountyeda.org/,"2,337 Acres",Jennifer Jones,6751 Columbia Gateway Drive,Suite 500,(410) 313-6500,jdjones@hceda.org,2034/12/14 00:00:00+00,39,56270.4352954254,15761327.6222827
39,Chesapeake Enterprise Zone,Baltimore County,305 Washington Avenue,,Towson,Baltimore,MD,21204,(410) 887-2258,https://www.BaltimoreCountyMD.gov/DEWD,"5,713 Acres",Katie Ciarrocchi,305 Washington Avenue,,(410) 887-2258,kciarrocchi@baltimorecountymd.gov,2034/12/14 00:00:00+00,5,79298.9521698732,38610123.6830641
40,Cecil County Enterprise Zone,Cecil County,200 Chesapeake Bouleveard,Suite 2700,Elkton,Cecil,MD,21921,(410) 996-8468,http://www.ccgov.org/,"8,206 Acres",Sandra Edwards,200 Chesapeake Boulevard,Suite 2700,(410) 996-8468,sedwards@ccgov.org,2033/06/14 00:00:00+00,8,273703.407117624,56016568.5646635
