index,status,http_status,error,company_name,county,stage,industry,employee_count,annual_revenue,street_address,zip_code,timestamp
0,success,200,,Plant Sensory Systems (synthetic-0),Baltimore City,pre-seed,Aerospace and Defense,6,0,"5520 research park drive, catonsville, md 21228",21228,2026-08-10 11:55:05
4,success,200,,Tradeswell (Incremental) (synthetic-4),Howard,growth,Other Healthcare Technology Systems,5,65745,"115 west st, ste 301, annapolis, maryland 21401, us - Li",21401,2026-08-10 11:55:05
3,success,200,,RFIDKNOW (synthetic-3),Baltimore City,established,Autonomous Vehicles,30,1857463,"3701 a, southwestern blvd, baltimore, md 21229",21229,2026-08-10 11:55:05
5,success,200,,Kion (synthetic-5),Anne Arundel,growth,Telecommunications,30,177717,"3130 frederick ave, baltimore, md 21229",21229,2026-08-10 11:55:05
1,success,200,,Zentail Inc (synthetic-1),Baltimore City,early,Quantum Computing,125,1672499,"30 e padonia rd, timonium, md 21093",21093,2026-08-10 11:55:07
2,success,200,,Longeviti (synthetic-2),Baltimore City,established,Biotechnology Research,210,162083,"8 market place, suite 200, baltimore, md 21202",21202,2026-08-10 11:55:08
6,success,200,,Medisolv (synthetic-6),Anne Arundel,pre-seed,Medical Supplies,30,0,"4820 seton drive, suite l, baltimore, maryland 21215, us - Li",21215,2026-08-10 11:55:31
8,success,200,,Scene Health (synthetic-8),Baltimore City,established,Construction / Engineering,350,93963,"6751 columbia gateway dr, suite 300, columbia, md, 21046, usa, columbia, md 21046",21046,2026-08-10 11:55:33
7,success,200,,INFINITE FOCUS (synthetic-7),Baltimore City,pre-seed,GovTech,30,0,"323 w camden st, suite 600, baltimore, maryland 21201, us - Li",21201,2026-08-10 11:55:34
9,success,200,,iBallistix (synthetic-9),Anne Arundel,established,Energy,5,0,"855 n. wolfe st., baltimore, md 21205",21205,2026-08-10 11:55:37
10,success,200,,Cellomics Technology (synthetic-10),Baltimore City,pre-seed,Gaming,5,0,"4709 harford rd, baltimore, maryland 21214, us - Li",21214,2026-08-10 11:55:38
11,success,200,,OncoSTING (synthetic-11),Baltimore City,seed,Retail,6,173476,"6021 university boulevard, ellicott city, md 21043",21043,2026-08-10 11:55:42
12,success,200,,Early Works (synthetic-12),Baltimore City,early,Biotechnology,3,16956248,"701 east pratt street, baltimore, md 21202",21202,2026-08-10 11:55:53
14,success,200,,Soundtrack (synthetic-14),Baltimore City,seed,IT Consulting and Outsourcing,210,74963,"1300 bayard street, baltimore, md 21230",21230,2026-08-10 11:55:57
16,success,200,,"Accelevir Diagnostics (AccelevirDx, LLC) (synthetic-16)",Baltimore City,established,Other Healthcare Technology Systems,6,0,"6750 alexander bell dr, suite 420, columbia, maryland 21046, us - Li",21046,2026-08-10 11:56:00
13,success,200,,Infosec Learning (synthetic-13),Baltimore County,pre-seed,Advanced Manufacturing,6,3789533,"3500 boston street, baltimore, md 21224",21224,2026-08-10 11:56:02
17,success,200,,Intent (Human Capital Services) (synthetic-17),Baltimore City,seed,Supply Chain & Logistics,6,0,"baltimore, maryland, 21211 - Pb",21211,2026-08-10 11:56:05
15,success,200,,Noble Life Sciences (synthetic-15),Baltimore City,seed,Research Services,30,27875,"8110 maple lawn blvd., suite 200, fulton, maryland 20759, us - Li",20759,2026-08-10 11:56:07
18,success,200,,Plant Bliss (synthetic-18),Anne Arundel,pre-seed,Biotechnology Research,30,0,"baltimore, maryland 21202, us - Li",21202,2026-08-10 11:56:13
19,success,200,,Storytime AI LLC (synthetic-19),Baltimore City,pre-seed,Cybersecurity,6,102736,"columbia, maryland, 21046 - Pb",21046,2026-08-10 11:56:19
20,success,200,,Thermoreg (synthetic-20),Baltimore City,pre-seed,IT Services and IT Consulting,6,129006,"3811 canterbury rd. #803, baltimore, md 21218, us - Li",21218,2026-08-10 11:56:34
21,success,200,,Further Insights (synthetic-21),Howard,seed,HR Tech,6,0,"221 east thomas avenue, baltimore, md 21225, us - Li",21225,2026-08-10 11:56:36
23,success,200,,Khrysalys (synthetic-23),Howard,pre-seed,Sporting Goods / Recreation,2,188726,"954 ridgebrook rd, sparks glencoe, md 21152",21152,2026-08-10 11:56:37
25,success,200,,"Foreman (OBM, Inc.) (synthetic-25)",Baltimore City,growth,Cannabis,5,11296,"3001 rosekemp ave, baltimore, md 21214",21214,2026-08-10 11:56:43
24,success,200,,Everywhere Communications (synthetic-24),Baltimore City,seed,Consumer Tech,6,559391,"14800 york road, suite 866, sparks glencoe, md 21152",21152,2026-08-10 11:56:44
26,success,200,,"Vita Therapeutics, Inc. (synthetic-26)",Baltimore City,early,Semiconductors,30,101805,"3717 boston st., 131, baltimore, md 21224, us - Li",21224,2026-08-10 11:56:49
27,success,200,,SciGenesis LLC (synthetic-27),Baltimore City,growth,Robotics,30,0,"6030 day break circle, suite a150-342,clarksville, md united states 21029 - direct",21029,2026-08-10 11:56:54
28,success,200,,CurveAssure (synthetic-28),Baltimore City,pre-seed,Personal Care,375,118471,"101 n haven st., baltimore, md 21224, us - Li",21224,2026-08-10 11:57:05
29,success,200,,Maryland Proton Treatment Center (synthetic-29),Baltimore City,pre-seed,Biotechnology Research,6,182703,"1300 bayard st, baltimore, maryland 21230, us - Li",21230,2026-08-10 11:57:10
30,success,200,,Motifworks (synthetic-30),Howard,established,MarComm,175,0,"3840 bank street baltimore md, baltimore, md 21224",21224,2026-08-10 11:57:11
31,success,200,,WiConnectGlobal Corp. (synthetic-31),Baltimore County,established,Other Commercial Services,6,808466,"750 md route 3 south, suite 19 gambrills, md 21054, gambrills, md 21054",21054,2026-08-10 11:57:14
22,success,200,,ReGeltec (synthetic-22),Baltimore City,growth,Venture Studio,6,838648,"laurel, maryland, 20708 - Pb",20708,2026-08-10 11:57:16
32,success,200,,Untethered Voyages (synthetic-32),Baltimore City,seed,Aerospace and Defence,6,1919355,"307 washington avenue,towson, md united states 21204 - direct",21204,2026-08-10 11:57:19
33,success,200,,JHU Social Innovation Lab (synthetic-33),Howard,seed,Travel & Tourism,6,193178,"7090 columbia gateway drive, columbia, md 21046",21046,2026-08-10 11:57:28
34,success,200,,Aletira Therapeutics (synthetic-34),Baltimore City,seed,Hospitals and Health Care,5,551183,"1812 ashland avenue suite 110, baltimore, md 21205, us - Li",21205,2026-08-10 11:57:34
35,success,200,,Sonavi Labs (synthetic-35),Baltimore City,early,MarComm,30,1940489,"801 cromwell park drive, suite 108, glen burnie, maryland 21061, us - Li",21061,2026-08-10 11:57:38
